"NOTE: Play times are estimates. If we are ahead of schedule, the next game is allowed to start earlier than its scheduled time!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check-in & warm-up begins at 9:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pool play - Random teams, games to 21, win by 2. Each pod plays 4 sets.",,,,,,,,,,,,,,,,Pod,Number Played,Number Reffed,Schedule,Double Sits/Ref,Time Frame,,Pod Matches,1,2,3,4,5,6,7,8,9,10,11,12
Game,Time,Team A,,,vs,Team B,,,Sit,,,,Ref,,,1,4,1,SPPSPRPS,,,,1,x,,,,,,,,,,,
1,10:00 AM,4,5,6,,7,8,9,1,2,10,12,Volunteer,11,,2,4,1,SPSPSPRP,,,,2,G2,x,,,,,,,,,,
2,10:20 AM,1,2,3,,10,11,12,4,6,7,8,5,9,,3,4,1,SPSPRPSP,,,,3,G2,G2,x,,,,,,,,,
3,10:40 AM,4,7,10,,1,6,9,2,3,5,8,11,12,,4,4,1,PSPPRSPS,,,,4,G7,G4,,x,,,,,,,,
4,11:00 AM,2,4,9,,3,5,7,1,6,10,12,8,11,,5,4,1,PRSPSPSP,,,,5,,"G6, G8",G4,G1,x,,,,,,,
5,11:20 AM,1,8,12,,6,10,11,2,5,7,9,3,4,,6,4,1,PSPSPSPR,,,,6,G3,,,G1,G1,x,,,,,,
6,11:40 AM,2,5,7,,3,9,12,4,6,8,10,1,11,,7,4,1,PSPPSPRS,,,,7,Against,G6,G4,G3,"G4, G6",,x,,,,,
7,12:00 PM,1,4,11,,6,8,10,3,5,9,12,2,7,,8,4,1,PSSRPSPP,x,10:20-11AM,,8,G5,Against,G6,Against,Against,G7,G1,x,,,,
8,12:20 PM,2,5,12,,3,8,11,1,4,7,9,6,10,,9,4,1,PRPPSPSS,,Done early,,9,G3,G4,G6,G4,G6,G3,G1,G1,x,,,
,"Ends at 12:40PM-ish, 40 min lunch break",,,,,,,,,,,,,,,10,4,1,RPPSPSPS,,,,10,Against,Against,Against,G3,,"G5, G7",G3,G7,,x,,
,,,,,,,,,,,,,,,,11,4,4,RPRRPRPP (HOST),x,Ref everytime we sit,,11,G7,Against,G6,G7,Against,G5,,G6,,"G2, G5",x,
Break & photo-op 12:40PM-1:20PM,,,,,,,,,,,,,,,,12,4,1,SPRSPPSP,,,,12,G5,G8,G6,,G8,,Against,G5,G6,G2,G2,x
,,,,,,,,,Bracket play based on pool play seeds,,,,,,,,,,Team 8 will sit twice in a row; they may use this time to practice,,,,,"Few teams will have to play with others twice. Occurs for teams 2, 5, 6, and 10.",,,,,,,,,,,
"Bracket play - Set teams, games to 21, win by 2",,,,,,,,,Team 1,,,,,,,,,,Team 9 will have a longer break than others since they sit twice at the very end,,,,,Some teams never play with or against each other. Occurs for teams 1 and 5 for example.,,,,,,,,,,,
Game,Time,Team A,vs,Team B,,Sit,,,Team 2,,,,,,,,,,"Team 11 will be the HOST pod, reffing every time they sit",,,,,This was a necessity in order to balance the sit-play-ref schedule for each team. ,,,,,,,,,,,
1,1:20 PM,Team 1,,Team 3,,Team 2,Team 4,,Team 3,,,,,,,,,,Last game will need a volunteer pod to ref,,,,,"Pods that play together more than once are more likely to have the same score differentials to determine seeding, meaning they are less likely to play on a team in bracket play.",,,,,,,,,,,
2,1:40 PM,Team 2,,Team 4,,Team 1,Team 3,,Team 4,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2:00 PM,Game 1 Winner,Winner's Bracket,Game 2 Winner,,Game 1 Loser,Game 2 Loser,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2:20 PM,Game 1 Loser,Loser's Bracket,Game 2 Loser,,Game 1 Winner,Game 2 Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2:40 PM,Game 4 Winner,Loser's Bracket,Game 3 Loser,,Game 3 Winner,Game 4 Loser,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3:00 PM,Game 3 Winner,Championship,Game 5 Winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3:20 PM,Game 6 Winner,Championship,Game 6 Loser IF FIRST LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracket play simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winner's Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game 1,Winner?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team A,Team A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team B,,Game 4,Winner?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team A,Team A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Team C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game 2,Winner?,,,,Game 6,Winner?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team C,Team C,,,,Team A,Team A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team D,,,,,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loser's Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game 3,Winner?,Game 5,Winner?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team B,Team B,Team B,Team B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team D,,Team C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medals at 4pm!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
